TOTAL XYZ KEYS: 218
XYZ SYMBOL: xyz:XYZ100 NtlVlm: 187791428.6174998283
XYZ SYMBOL: xyz:TSLA NtlVlm: 19181196.3421800062
XYZ SYMBOL: xyz:NVDA NtlVlm: 31630132.8501499929
XYZ SYMBOL: xyz:GOLD NtlVlm: 118707704.3760299683
XYZ SYMBOL: xyz:HOOD NtlVlm: 3147770.7358749993
XYZ SYMBOL: xyz:INTC NtlVlm: 28050395.6458799876
XYZ SYMBOL: xyz:PLTR NtlVlm: 92973883.0488300622
XYZ SYMBOL: xyz:COIN NtlVlm: 7460748.5212900024
XYZ SYMBOL: xyz:META NtlVlm: 38366476.8956300095
XYZ SYMBOL: xyz:AAPL NtlVlm: 13107354.8600600027
XYZ SYMBOL: xyz:MSFT NtlVlm: 50493551.8602000028
XYZ SYMBOL: xyz:ORCL NtlVlm: 8073027.2144900002
XYZ SYMBOL: xyz:GOOGL NtlVlm: 31026318.3377400003
XYZ SYMBOL: xyz:AMZN NtlVlm: 12264746.9204999954
XYZ SYMBOL: xyz:AMD NtlVlm: 7596047.7666100012
XYZ SYMBOL: xyz:MU NtlVlm: 168144573.0241598487
XYZ SYMBOL: xyz:SNDK NtlVlm: 146420118.9154000878
XYZ SYMBOL: xyz:MSTR NtlVlm: 8007295.9724279996
XYZ SYMBOL: xyz:CRCL NtlVlm: 23713564.5721790008
XYZ SYMBOL: xyz:NFLX NtlVlm: 2245297.8539030002
XYZ SYMBOL: xyz:COST NtlVlm: 19075.244206
XYZ SYMBOL: xyz:LLY NtlVlm: 2466948.1779200002
XYZ SYMBOL: xyz:SKHX NtlVlm: 393755108.3130899668
XYZ SYMBOL: xyz:TSM NtlVlm: 4206821.0351400031
XYZ SYMBOL: xyz:JPY NtlVlm: 1778586.2401999992
XYZ SYMBOL: xyz:EUR NtlVlm: 557286.6843299997
XYZ SYMBOL: xyz:SILVER NtlVlm: 132434825.7060701102
XYZ SYMBOL: xyz:RIVN NtlVlm: 50419.81097
XYZ SYMBOL: xyz:BABA NtlVlm: 1890095.2377899999
XYZ SYMBOL: xyz:CL NtlVlm: 247387158.8190679848
XYZ SYMBOL: xyz:COPPER NtlVlm: 4252265.192382996
XYZ SYMBOL: xyz:NATGAS NtlVlm: 5698318.9079700019
XYZ SYMBOL: xyz:URANIUM NtlVlm: 0.0
XYZ SYMBOL: xyz:ALUMINIUM NtlVlm: 0.0
XYZ SYMBOL: xyz:SMSN NtlVlm: 61373473.2736299634
XYZ SYMBOL: xyz:PLATINUM NtlVlm: 1676333.2822000009
XYZ SYMBOL: xyz:USAR NtlVlm: 1368770.4288100002
XYZ SYMBOL: xyz:CRWV NtlVlm: 21083364.9241400026
XYZ SYMBOL: xyz:URNM NtlVlm: 87417.86337
XYZ SYMBOL: xyz:PALLADIUM NtlVlm: 389735.7836800001
XYZ SYMBOL: xyz:DXY NtlVlm: 0.0
XYZ SYMBOL: xyz:GME NtlVlm: 250015.5568599999
XYZ SYMBOL: xyz:KR200 NtlVlm: 700424.8678579998
XYZ SYMBOL: xyz:SOFTBANK NtlVlm: 82194.969692
XYZ SYMBOL: xyz:JP225 NtlVlm: 1088228.75908
XYZ SYMBOL: xyz:HYUNDAI NtlVlm: 648671.1198600004
XYZ SYMBOL: xyz:KIOXIA NtlVlm: 1853331.6165199999
XYZ SYMBOL: xyz:EWY NtlVlm: 33651058.7342500091
XYZ SYMBOL: xyz:EWJ NtlVlm: 352028.874016
XYZ SYMBOL: xyz:BRENTOIL NtlVlm: 198466114.0332198441
XYZ SYMBOL: xyz:VIX NtlVlm: 0.0
XYZ SYMBOL: xyz:HIMS NtlVlm: 1868338.4650199995
XYZ SYMBOL: xyz:SP500 NtlVlm: 221215826.3560996652
XYZ SYMBOL: xyz:DKNG NtlVlm: 170091.3331
XYZ SYMBOL: xyz:LITE NtlVlm: 32930112.5912099928
